iter,current_best,gbest_value
120,277.4603806427,253.5676123213
121,272.9258520494,253.5676123213
122,262.8985542066,253.5676123213
123,256.3351935738,253.5676123213
124,269.4059972967,253.5676123213
125,270.2961990384,253.5676123213
126,263.6403001608,253.5676123213
127,259.2969948469,253.5676123213
128,229.8224544493,229.8224544493
129,251.7461256214,229.8224544493
130,252.7022357345,229.8224544493
131,215.8785430596,215.8785430596
132,270.5589248780,215.8785430596
133,224.5361783030,215.8785430596
134,247.4532731090,215.8785430596
135,201.1503027536,201.1503027536
136,253.9037427307,201.1503027536
137,211.9516862803,201.1503027536
138,216.1341362779,201.1503027536
139,211.0272292905,201.1503027536
140,195.9856415393,195.9856415393
141,240.7731950093,195.9856415393
142,197.0928203661,195.9856415393
143,188.9260327078,188.9260327078
144,196.4827284847,188.9260327078
145,213.6489372628,188.9260327078
146,186.3951004391,186.3951004391
147,210.1482630462,186.3951004391
148,196.6554345153,186.3951004391
149,191.3525145149,186.3951004391
150,182.6471007789,182.6471007789
151,169.2945621942,169.2945621942
152,217.4683950313,169.2945621942
153,181.0478851555,169.2945621942
154,174.7245190208,169.2945621942
155,169.6534628655,169.2945621942
156,186.3666200799,169.2945621942
157,186.8210446700,169.2945621942
158,185.3537671950,169.2945621942
159,172.0186494620,169.2945621942
160,152.5535847174,152.5535847174
161,184.7458193214,152.5535847174
162,173.1037039808,152.5535847174
163,171.9450173318,152.5535847174
164,180.1063813976,152.5535847174
165,215.6413099107,152.5535847174
166,173.1714084075,152.5535847174
167,156.0817183892,152.5535847174
168,187.3239312471,152.5535847174
169,166.3753423415,152.5535847174
170,163.3000704598,152.5535847174
171,154.8154679571,152.5535847174
172,160.3935479105,152.5535847174
173,162.0480601766,152.5535847174
174,158.1976075379,152.5535847174
175,156.7680536172,152.5535847174
176,165.7839057085,152.5535847174
177,154.1725735300,152.5535847174
178,162.8332256072,152.5535847174
179,146.5799297513,146.5799297513
180,188.7215206620,146.5799297513
181,151.7007530166,146.5799297513
182,153.5511006352,146.5799297513
183,152.3035591169,146.5799297513
184,154.1146902413,146.5799297513
185,145.7714083062,145.7714083062
186,158.7466747555,145.7714083062
187,149.7824401927,145.7714083062
188,172.4867103045,145.7714083062
189,162.6461177808,145.7714083062
190,158.9843817573,145.7714083062
191,151.8878229784,145.7714083062
192,162.4678032268,145.7714083062
193,156.4103378828,145.7714083062
194,145.9152561050,145.7714083062
195,167.2898729465,145.7714083062
196,171.1853373838,145.7714083062
197,183.4050439914,145.7714083062
198,160.7513746752,145.7714083062
199,146.8971334927,145.7714083062
200,146.9815684562,145.7714083062
201,171.1447664596,145.7714083062
202,151.5545684952,145.7714083062
203,175.5735063268,145.7714083062
204,165.2597837301,145.7714083062
205,164.2529166009,145.7714083062
206,147.0509442581,145.7714083062
207,154.3098662913,145.7714083062
208,158.9341888912,145.7714083062
209,161.5210092498,145.7714083062
210,151.0735838366,145.7714083062
211,153.9002570460,145.7714083062
212,150.9954093728,145.7714083062
213,150.6680309346,145.7714083062
214,163.4455704748,145.7714083062
215,156.1627984393,145.7714083062
216,140.3960444857,140.3960444857
217,154.0826356767,140.3960444857
218,141.4604617695,140.3960444857
219,150.3629846424,140.3960444857
220,151.9956335826,140.3960444857
221,146.2313032065,140.3960444857
222,144.8888945770,140.3960444857
223,147.5520442625,140.3960444857
224,175.4251474268,140.3960444857
225,151.2215073716,140.3960444857
226,149.1460005625,140.3960444857
227,164.2903802000,140.3960444857
228,146.9786662268,140.3960444857
229,151.8172942759,140.3960444857
230,146.4295501555,140.3960444857
231,150.1458501116,140.3960444857
232,149.3103525617,140.3960444857
233,145.5883393781,140.3960444857
234,152.8733552636,140.3960444857
235,152.0470101554,140.3960444857
236,137.9986572816,137.9986572816
237,147.4099544894,137.9986572816
238,140.5610744093,137.9986572816
239,144.5800722562,137.9986572816
240,138.5830268338,137.9986572816
241,138.2302460548,137.9986572816
242,133.1237311314,133.1237311314
243,136.5257147303,133.1237311314
244,132.9843316822,132.9843316822
245,138.9874127062,132.9843316822
246,139.1801491462,132.9843316822
247,134.2086286931,132.9843316822
248,124.5148958576,124.5148958576
249,125.2990419444,124.5148958576
250,125.8328246033,124.5148958576
251,129.8047094282,124.5148958576
252,132.6294439700,124.5148958576
253,127.3939876371,124.5148958576
254,125.4615438178,124.5148958576
255,118.2381585153,118.2381585153
256,121.4779654690,118.2381585153
257,119.0712835046,118.2381585153
258,112.4509577791,112.4509577791
259,128.1415191710,112.4509577791
260,110.8226224863,110.8226224863
261,123.4816187954,110.8226224863
262,113.5469083452,110.8226224863
263,134.5377823002,110.8226224863
264,108.1088581226,108.1088581226
265,107.2573458013,107.2573458013
266,118.1314297809,107.2573458013
267,111.4614118942,107.2573458013
268,124.2952619145,107.2573458013
269,122.8090919375,107.2573458013
270,124.7933981008,107.2573458013
271,108.9692581089,107.2573458013
272,136.5455729388,107.2573458013
273,140.1615627283,107.2573458013
274,120.7881679036,107.2573458013
275,132.7677607492,107.2573458013
276,141.6926404715,107.2573458013
277,122.6803526646,107.2573458013
278,134.7891481738,107.2573458013
279,115.3178758813,107.2573458013
280,140.1489134739,107.2573458013
281,117.5965475601,107.2573458013
282,113.4669398393,107.2573458013
283,121.9923325420,107.2573458013
284,110.2487488919,107.2573458013
285,121.3954039961,107.2573458013
286,123.4502697572,107.2573458013
287,123.1273787124,107.2573458013
288,126.7648578836,107.2573458013
289,132.1285146560,107.2573458013
290,125.2111504416,107.2573458013
291,120.0240020176,107.2573458013
292,115.8993386182,107.2573458013
293,129.2254640488,107.2573458013
294,112.3748274605,107.2573458013
295,117.9937264484,107.2573458013
296,102.9792955871,102.9792955871
297,128.0351614930,102.9792955871
298,102.4035290300,102.4035290300
299,128.7388814807,102.4035290300
300,105.4958586306,102.4035290300
301,115.6545035584,102.4035290300
302,126.0556107916,102.4035290300
303,117.9894443519,102.4035290300
304,133.0842738063,102.4035290300
305,97.2072517277,97.2072517277
306,133.9866552413,97.2072517277
307,113.8201277610,97.2072517277
308,123.0724140525,97.2072517277
309,118.2011303469,97.2072517277
310,132.6606739031,97.2072517277
311,120.1653903118,97.2072517277
312,104.7727610143,97.2072517277
313,118.7108200394,97.2072517277
314,100.2377559398,97.2072517277
315,123.0774215135,97.2072517277
316,115.2467842936,97.2072517277
317,100.5231473652,97.2072517277
