cognome,nome_original,url_original
img_16,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNjclNUQlN0IzOTYlN0RjYXBfM18tX2ZpZ181Xy1fbGV0cmFfal8tX2J1cXVlX21hZHVyb19icnNfdHJvcGljYWxfLV9hdXRvcmlhX2VsaXNldV9lbWFub2VsX2Rvc19zYW50b3MuanBn.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18367%5D%7B396%7Dcap_3_-_fig_5_-_letra_j_-_buque_maduro_brs_tropical_-_autoria_eliseu_emanoel_dos_santos.jpg
img_17,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNjElNUQlN0I0MTclN0RjYXBfM18tX2ZpZ18zXy1fbGV0cmFfZl8tX2J1cXVlX21hZHVyb190ZXJyYV8tX2F1dG9yaWFfZWxpc2V1X2VtYW5vZWxfZG9zX3NhbnRvcy5qcGc=.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18361%5D%7B417%7Dcap_3_-_fig_3_-_letra_f_-_buque_maduro_terra_-_autoria_eliseu_emanoel_dos_santos.jpg
img_18,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNjglNUQlN0I3NiU3RGNhcF8zXy1fZmlnXzVfLV9sZXRyYV9oXy1fYnVxdWVfbWFkdXJvX2ZoaWEwMV8tX2F1dG9yaWFfZWxpc2V1X2VtYW5vZWxfZG9zX3NhbnRvcy5qcGc=.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18368%5D%7B76%7Dcap_3_-_fig_5_-_letra_h_-_buque_maduro_fhia01_-_autoria_eliseu_emanoel_dos_santos.jpg
img_19,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNjIlNUQlN0IyNjUlN0RjYXBfM18tX2ZpZ181Xy1fbGV0cmFfZl8tX2J1cXVlX21hZHVyb19wbGF0aW5hXy1fYXV0b3JpYV9lbGlzZXVfZW1hbm9lbF9kb3Nfc2FudG9zLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18362%5D%7B265%7Dcap_3_-_fig_5_-_letra_f_-_buque_maduro_platina_-_autoria_eliseu_emanoel_dos_santos.jpg
img_20,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNjklNUQlN0I0MCU3RGNhcF8zXy1fZmlnXzRfLV9sZXRyYV9nXy1fYnVxdWVfbWFkdXJvX3RoYXBfbWFlb18tX2F1dG9yaWFfZWxpc2V1X2VtYW5vZWxfZG9zX3NhbnRvcy5qcGc=.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18369%5D%7B40%7Dcap_3_-_fig_4_-_letra_g_-_buque_maduro_thap_maeo_-_autoria_eliseu_emanoel_dos_santos.jpg
img_21,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNjQlNUQlN0IzMzUlN0RiZWxsdW5hLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18364%5D%7B335%7Dbelluna.jpg
img_22,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNjUlNUQlN0IyNzQlN0R3aWxsaWFucy5qZmlm.jfif,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18365%5D%7B274%7Dwillians.jfif
img_23,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNjYlNUQlN0IzMTQlN0RwcmluY2VzYS5qZmlm.jfif,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18366%5D%7B314%7Dprincesa.jfif
img_24,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNTclNUQlN0IyMzklN0RuYW5pY2FvLmpmaWY=.jfif,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18357%5D%7B239%7Dnanicao.jfif
img_25,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNTElNUQlN0IzMzElN0RjYXBfM18tX2ZpZ18xXy1fbGV0cmFfZ18tX2J1cXVlc19tYWR1cm9fY2F0YXJpbmFfLV9hdXRvcmlhX2VsaXNldV9lbWFub2VsX2Rvc19zYW50b3MuanBn.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18351%5D%7B331%7Dcap_3_-_fig_1_-_letra_g_-_buques_maduro_catarina_-_autoria_eliseu_emanoel_dos_santos.jpg
