Timestamp,Run,Generation,BestFitness,AvgFitness,Best_ST,Best_LX,Best_Profit
2025-10-05 19:27:05,5,7,0.750000,0.583211,22,9,1020.00
2025-10-05 19:27:05,5,8,0.750000,0.605882,22,9,1020.00
2025-10-05 19:27:05,5,9,0.764706,0.625858,24,8,1040.00
2025-10-05 19:27:05,5,10,0.764706,0.620098,24,8,1040.00
2025-10-05 19:27:05,5,11,0.764706,0.627451,24,8,1040.00
2025-10-05 19:27:05,5,12,0.764706,0.612255,24,8,1040.00
2025-10-05 19:27:05,5,13,0.764706,0.543015,24,8,1040.00
2025-10-05 19:27:05,5,14,0.764706,0.543382,24,8,1040.00
2025-10-05 19:27:05,5,15,0.764706,0.526593,24,8,1040.00
2025-10-05 19:27:05,5,16,0.764706,0.531618,24,8,1040.00
2025-10-05 19:27:05,5,17,0.764706,0.551225,24,8,1040.00
2025-10-05 19:27:05,5,18,0.764706,0.539338,24,8,1040.00
2025-10-05 19:27:05,5,19,0.764706,0.577574,24,8,1040.00
2025-10-05 19:27:05,6,0,0.698529,0.431127,21,8,950.00
2025-10-05 19:27:05,6,1,0.698529,0.514706,21,8,950.00
2025-10-05 19:27:05,6,2,0.698529,0.501838,21,8,950.00
2025-10-05 19:27:05,6,3,0.720588,0.516299,18,11,980.00
2025-10-05 19:27:05,6,4,0.742647,0.568750,23,8,1010.00
2025-10-05 19:27:05,6,5,0.764706,0.573775,24,8,1040.00
2025-10-05 19:27:05,6,6,0.764706,0.612500,24,8,1040.00
2025-10-05 19:27:05,6,7,0.764706,0.625858,24,8,1040.00
2025-10-05 19:27:05,6,8,0.764706,0.627574,24,8,1040.00
2025-10-05 19:27:05,6,9,0.764706,0.595956,24,8,1040.00
2025-10-05 19:27:05,6,10,0.764706,0.520588,24,8,1040.00
2025-10-05 19:27:05,6,11,0.764706,0.579167,24,8,1040.00
2025-10-05 19:27:05,6,12,0.764706,0.601103,24,8,1040.00
2025-10-05 19:27:05,6,13,0.764706,0.576225,24,8,1040.00
2025-10-05 19:27:05,6,14,0.764706,0.576348,24,8,1040.00
2025-10-05 19:27:05,6,15,0.764706,0.532230,24,8,1040.00
2025-10-05 19:27:05,6,16,0.764706,0.576225,24,8,1040.00
2025-10-05 19:27:05,6,17,0.764706,0.562255,24,8,1040.00
2025-10-05 19:27:05,6,18,0.764706,0.592525,24,8,1040.00
2025-10-05 19:27:05,6,19,0.764706,0.595343,24,8,1040.00
2025-10-05 19:27:05,7,0,0.764706,0.436029,24,8,1040.00
2025-10-05 19:27:05,7,1,0.764706,0.533578,24,8,1040.00
2025-10-05 19:27:05,7,2,0.764706,0.524510,24,8,1040.00
2025-10-05 19:27:05,7,3,0.764706,0.561275,24,8,1040.00
2025-10-05 19:27:05,7,4,0.764706,0.585539,24,8,1040.00
2025-10-05 19:27:05,7,5,0.764706,0.533456,24,8,1040.00
2025-10-05 19:27:05,7,6,0.764706,0.533088,24,8,1040.00
2025-10-05 19:27:05,7,7,0.764706,0.502206,24,8,1040.00
2025-10-05 19:27:05,7,8,0.764706,0.488848,24,8,1040.00
2025-10-05 19:27:05,7,9,0.764706,0.497794,24,8,1040.00
2025-10-05 19:27:05,7,10,0.764706,0.530270,24,8,1040.00
2025-10-05 19:27:05,7,11,0.764706,0.585417,24,8,1040.00
2025-10-05 19:27:05,7,12,0.764706,0.576838,24,8,1040.00
2025-10-05 19:27:05,7,13,0.764706,0.575735,24,8,1040.00
2025-10-05 19:27:05,7,14,0.764706,0.591544,24,8,1040.00
2025-10-05 19:27:05,7,15,0.764706,0.547304,24,8,1040.00
2025-10-05 19:27:05,7,16,0.764706,0.585172,24,8,1040.00
2025-10-05 19:27:05,7,17,0.764706,0.577083,24,8,1040.00
2025-10-05 19:27:05,7,18,0.764706,0.569730,24,8,1040.00
2025-10-05 19:27:05,7,19,0.764706,0.572672,24,8,1040.00
2025-10-05 19:27:05,8,0,0.654412,0.359069,23,5,890.00
2025-10-05 19:27:05,8,1,0.694853,0.446569,21,10,1030.00
2025-10-05 19:27:05,8,2,0.694853,0.450980,21,10,1030.00
2025-10-05 19:27:05,8,3,0.694853,0.531495,21,10,1030.00
2025-10-05 19:27:05,8,4,0.735294,0.549020,24,7,1000.00
2025-10-05 19:27:05,8,5,0.735294,0.547059,24,7,1000.00
2025-10-05 19:27:05,8,6,0.735294,0.551961,24,7,1000.00
2025-10-05 19:27:05,8,7,0.735294,0.509069,24,7,1000.00
2025-10-05 19:27:05,8,8,0.735294,0.558211,24,7,1000.00
2025-10-05 19:27:05,8,9,0.735294,0.569363,24,7,1000.00
2025-10-05 19:27:05,8,10,0.735294,0.613848,24,7,1000.00
2025-10-05 19:27:05,8,11,0.735294,0.577206,24,7,1000.00
2025-10-05 19:27:05,8,12,0.735294,0.640319,24,7,1000.00
