link_imagem,titulo_documento
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18361%5D%7B417%7Dcap_3_-_fig_3_-_letra_f_-_buque_maduro_terra_-_autoria_eliseu_emanoel_dos_santos.jpg,BANANA - Cultivares - Terra
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18365%5D%7B274%7Dwillians.jfif,BANANA - Cultivares - Williams
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18386%5D%7B443%7Dcepa_6.jpg,BANANA - Zoneamento agroclimático e ecofisiologia da bananeira
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18386%5D%7B359%7Dcepa_2.jpg,BANANA - Zoneamento agroclimático e ecofisiologia da bananeira
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18386%5D%7B174%7Dcepa_3.jpg,BANANA - Zoneamento agroclimático e ecofisiologia da bananeira
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18386%5D%7B316%7Dcepa_4.jpg,BANANA - Zoneamento agroclimático e ecofisiologia da bananeira
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18386%5D%7B50%7Dcepa_5.jpg,BANANA - Zoneamento agroclimático e ecofisiologia da bananeira
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18386%5D%7B175%7Dcepa_7.jpg,BANANA - Zoneamento agroclimático e ecofisiologia da bananeira
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18386%5D%7B526%7Dciram1.jpg,BANANA - Zoneamento agroclimático e ecofisiologia da bananeira
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18386%5D%7B502%7Dcepa_6.jpg,BANANA - Zoneamento agroclimático e ecofisiologia da bananeira
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18386%5D%7B334%7Dciram_2.jpg,BANANA - Zoneamento agroclimático e ecofisiologia da bananeira
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18413%5D%7B548%7Dsolo_comp._9.jpg,BANANA - Correção e fertilidade do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18413%5D%7B287%7Dcap_7_figura_1.jpg,BANANA - Correção e fertilidade do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18413%5D%7B110%7Dcap_7_figura_2a.jpg,BANANA - Correção e fertilidade do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18413%5D%7B117%7Dfertilidade.png,BANANA - Correção e fertilidade do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18413%5D%7B374%7Dfosforo.png,BANANA - Correção e fertilidade do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18413%5D%7B343%7Dpotassio.png,BANANA - Correção e fertilidade do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18413%5D%7B2%7Danalise_foliar_1.png,BANANA - Correção e fertilidade do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18413%5D%7B459%7Dequacao_1.png,BANANA - Correção e fertilidade do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18413%5D%7B252%7Dequacao_2.png,BANANA - Correção e fertilidade do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18413%5D%7B253%7Dequacao_3.png,BANANA - Correção e fertilidade do solo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18413%5D%7B180%7Dtabela_smp.png,BANANA - Correção e fertilidade do solo
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18415%5D%7B72%7D20220330_084524.jpg,BANANA - Recomendação de fertilizantes
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18416%5D%7B419%7Ddsc_0901.jpg,BANANA - Recomendação de fertilizantes
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18417%5D%7B126%7Dbananal_valfrido.jpg,BANANA - Recomendação de fertilizantes
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18415%5D%7B72%7D20220330_084524.jpg,BANANA - Recomendação de fertilizantes - Adubação de pré-plantio e crescimento
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18415%5D%7B10%7Dcap_7_figura_3.jpg,BANANA - Recomendação de fertilizantes - Adubação de pré-plantio e crescimento
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18415%5D%7B64%7Dtabela_a.png,BANANA - Recomendação de fertilizantes - Adubação de pré-plantio e crescimento
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18416%5D%7B419%7Ddsc_0901.jpg,BANANA - Recomendação de fertilizantes - Adubação de produção
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18416%5D%7B292%7Dtabela_b.png,BANANA - Recomendação de fertilizantes - Adubação de produção
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18416%5D%7B408%7Dcap_7_figura_4a2.jpg,BANANA - Recomendação de fertilizantes - Adubação de produção
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18416%5D%7B355%7Dcap_7_figura_4b2.jpg,BANANA - Recomendação de fertilizantes - Adubação de produção
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18417%5D%7B126%7Dbananal_valfrido.jpg,BANANA - Recomendação de fertilizantes - Adubação em sistema orgânico de produção
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18417%5D%7B458%7Dtabela_c.png,BANANA - Recomendação de fertilizantes - Adubação em sistema orgânico de produção
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18381%5D%7B132%7Dplantas_invaroras_1.jpg,BANANA - Manejo do bananal - Controle de vegetação espontânea
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18381%5D%7B108%7Dplantas_invasoras.png,BANANA - Manejo do bananal - Controle de vegetação espontânea
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18382%5D%7B514%7Dfigura_13_-_b.jpg,BANANA - Manejo do bananal - Densidade de plantio
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18382%5D%7B277%7D20230815_095855.jpg,BANANA - Manejo do bananal - Densidade de plantio
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18382%5D%7B421%7Dfileira_dupla.jpg,BANANA - Manejo do bananal - Densidade de plantio
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18373%5D%7B215%7Dperfilhos_1.png,BANANA - Manejo do bananal - Desbaste de perfilhos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18373%5D%7B196%7Dlurdinha_1.jpg,BANANA - Manejo do bananal - Desbaste de perfilhos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18373%5D%7B38%7Dlurdinha_2.jpg,BANANA - Manejo do bananal - Desbaste de perfilhos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18373%5D%7B270%7Dlurdinha_3.jpg,BANANA - Manejo do bananal - Desbaste de perfilhos
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18374%5D%7B255%7D2014-02-14_10.22.12.jpg,BANANA - Manejo do bananal - Desfollha
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18374%5D%7B125%7Ddefolha.jpg,BANANA - Manejo do bananal - Desfollha
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18374%5D%7B8%7Ddesfolha_2.jpg,BANANA - Manejo do bananal - Desfollha
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18379%5D%7B388%7Ddesvio_de_perfilhos.jpg,BANANA - Manejo do bananal - Desvio de filhotes e de cachos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18379%5D%7B332%7Ddesvio_de_perfilhos_1.jpg,BANANA - Manejo do bananal - Desvio de filhotes e de cachos
http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18378%5D%7B543%7Densacamento.jpg,BANANA - Manejo do bananal - Ensacamento dos cachos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18378%5D%7B137%7Densacamento_2.jpg,BANANA - Manejo do bananal - Ensacamento dos cachos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18378%5D%7B297%7Densacamento_5.png,BANANA - Manejo do bananal - Ensacamento dos cachos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18378%5D%7B325%7Dencacamento_1.jpg,BANANA - Manejo do bananal - Ensacamento dos cachos
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B18378%5D%7B431%7Densacamento_3.jpg,BANANA - Manejo do bananal - Ensacamento dos cachos
